Suffix,Place Name,State,Lat,Long
ights,Crescent Heights,AL,33.4387196,-86.9158252
ights,Crestline Heights,AL,33.5067717,-86.7527664
epark,Crestline Park,AL,33.513716,-86.7338772
hills,Crestview Hills,AL,33.523438,-86.7338773
ham,Cunningham,AL,33.1740113,-88.1075261
ville,Dadeville,AL,32.831238,-85.7635692
city,Daisey City,AL,33.6170494,-86.921661
ville,Daleville,AL,31.3101719,-85.7129908
ville,Danielsville,AL,31.9207064,-86.4063574
ville,Danville,AL,33.5923261,-86.7699903
land,Dauphin Island,AL,30.2554811,-88.1097217
hills,Davis Hills,AL,34.7656462,-86.6119381
ville,Davisville,AL,32.3276432,-85.6696732
ville,Dixonville,AL,31.0004595,-87.0360774
town,Dogtown,AL,33.9481614,-87.5666824
wood,Dogwood,AL,33.1512286,-86.873045
ville,Dosterville,AL,32.4384696,-86.4496961
ville,Douglasville,AL,30.8660188,-87.7855477
ville,Douglasville,AL,33.5542714,-86.7983237
town,Dovertown,AL,33.7378845,-87.1536118
ville,Dudleyville,AL,32.9151252,-85.5999541
hill,Dug Hill,AL,34.7134241,-86.4877669
city,Eady City,AL,32.8281849,-85.1749407
town,Earlytown,AL,31.1285084,-86.129388
ham,East Birmingham,AL,33.5442714,-86.7819343
wood,East Brookwood,AL,33.2776157,-87.2902774
lake,East Lake,AL,33.5667707,-86.7249889
alley,Eastern Valley,AL,33.3595557,-86.9686037
wood,Eastwood,AL,33.5481601,-86.7613784
wood,Eastwood,AL,33.9409314,-86.4572078
cho,Echo,AL,31.4757245,-85.4657698
hill,Echols Hill,AL,34.7314799,-86.57527
field,Edgefield,AL,31.7168319,-85.3721595
tates,Edgemoor Estates,AL,33.4570517,-86.8322123
wood,Edgewood,AL,33.4676067,-86.810823
ights,Edmonton Heights,AL,34.7775905,-86.5663811
egypt,Egypt,AL,34.0737075,-86.1558093
ville,Elamville,AL,31.6676646,-85.6563304
view,Elk River View,AL,34.7881433,-87.2725191
wood,Elkwood,AL,34.977586,-86.7236099
ville,Ellisville,AL,34.0648206,-85.6099619
bluff,Elm Bluff,AL,32.1529207,-87.0719319
ville,Ethelsville,AL,33.4156743,-88.2166992
tates,Euclid Estates,AL,33.5106605,-86.7452663
ing,Ewing,AL,33.9906543,-85.9058026
view,Fair View,AL,34.6267509,-85.7902497
field,Fairfield,AL,31.2518384,-86.645516
field,Fairfield,AL,33.4859402,-86.9119366
